"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"88","endothelial","astrocytes","HBEGF","ERBB2_ERBB4",0.00166885422017231,0,"HBEGF_ERBB2_ERBB4","HBEGF - (ERBB2+ERBB4)","EGF","Secreted Signaling","KEGG: hsa04012"
"89","microglia","astrocytes","HBEGF","ERBB2_ERBB4",3.59037658807237e-05,0,"HBEGF_ERBB2_ERBB4","HBEGF - (ERBB2+ERBB4)","EGF","Secreted Signaling","KEGG: hsa04012"
"90","neurons","astrocytes","HBEGF","ERBB2_ERBB4",7.00141509015696e-06,0,"HBEGF_ERBB2_ERBB4","HBEGF - (ERBB2+ERBB4)","EGF","Secreted Signaling","KEGG: hsa04012"
"91","oligodendrocytes","astrocytes","HBEGF","ERBB2_ERBB4",0.000200789719093405,0,"HBEGF_ERBB2_ERBB4","HBEGF - (ERBB2+ERBB4)","EGF","Secreted Signaling","KEGG: hsa04012"
"92","endothelial","astrocytes","EREG","EGFR",6.09775166920368e-07,0,"EREG_EGFR","EREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"93","endothelial","endothelial","EREG","EGFR",1.23398147807455e-08,0.01,"EREG_EGFR","EREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"94","endothelial","neurons","EREG","EGFR",2.87211169687925e-07,0,"EREG_EGFR","EREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"95","endothelial","OPC","EREG","EGFR",1.17221774990443e-07,0,"EREG_EGFR","EREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"96","endothelial","astrocytes","EREG","EGFR_ERBB2",2.78805659776343e-07,0,"EREG_EGFR_ERBB2","EREG - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"97","endothelial","astrocytes","EREG","ERBB4",1.22678486938535e-05,0.01,"EREG_ERBB4","EREG - ERBB4","EGF","Secreted Signaling","KEGG: hsa04012"
"98","endothelial","endothelial","EREG","ERBB4",1.9760412579683e-07,0.01,"EREG_ERBB4","EREG - ERBB4","EGF","Secreted Signaling","KEGG: hsa04012"
"99","endothelial","microglia","EREG","ERBB4",3.92390390861362e-08,0.01,"EREG_ERBB4","EREG - ERBB4","EGF","Secreted Signaling","KEGG: hsa04012"
"100","endothelial","neurons","EREG","ERBB4",2.82782867974017e-05,0,"EREG_ERBB4","EREG - ERBB4","EGF","Secreted Signaling","KEGG: hsa04012"
"101","endothelial","oligodendrocytes","EREG","ERBB4",4.86676328219677e-06,0.01,"EREG_ERBB4","EREG - ERBB4","EGF","Secreted Signaling","KEGG: hsa04012"
"102","endothelial","OPC","EREG","ERBB4",3.96337864195261e-06,0.01,"EREG_ERBB4","EREG - ERBB4","EGF","Secreted Signaling","KEGG: hsa04012"
"103","endothelial","astrocytes","EREG","ERBB2_ERBB4",1.25055568206713e-06,0,"EREG_ERBB2_ERBB4","EREG - (ERBB2+ERBB4)","EGF","Secreted Signaling","KEGG: hsa04012"
"104","neurons","astrocytes","NRG3","ERBB4",0.00234203925797099,0.02,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"105","astrocytes","neurons","NRG3","ERBB4",0.00290981389490939,0.01,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"106","neurons","neurons","NRG3","ERBB4",0.00538220654257533,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"107","astrocytes","astrocytes","NRG3","ERBB2_ERBB4",0.000129036605290908,0,"NRG3_ERBB2_ERBB4","NRG3 - (ERBB2+ERBB4)","NRG","Secreted Signaling","KEGG: hsa04012"
"108","neurons","astrocytes","NRG3","ERBB2_ERBB4",0.000239242549693861,0,"NRG3_ERBB2_ERBB4","NRG3 - (ERBB2+ERBB4)","NRG","Secreted Signaling","KEGG: hsa04012"
"109","OPC","astrocytes","NRG3","ERBB2_ERBB4",4.00082948755058e-05,0,"NRG3_ERBB2_ERBB4","NRG3 - (ERBB2+ERBB4)","NRG","Secreted Signaling","KEGG: hsa04012"
"110","astrocytes","astrocytes","FGF1","FGFR1",0.000142776199407816,0.01,"FGF1_FGFR1","FGF1 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"111","endothelial","astrocytes","FGF1","FGFR1",0.000893104394229885,0,"FGF1_FGFR1","FGF1 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"112","oligodendrocytes","astrocytes","FGF1","FGFR1",0.00380473725662898,0,"FGF1_FGFR1","FGF1 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"113","oligodendrocytes","endothelial","FGF1","FGFR1",0.000454783829186867,0.01,"FGF1_FGFR1","FGF1 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"114","endothelial","neurons","FGF1","FGFR1",0.00021973288790967,0.01,"FGF1_FGFR1","FGF1 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"115","oligodendrocytes","neurons","FGF1","FGFR1",0.000938151131949101,0,"FGF1_FGFR1","FGF1 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"116","oligodendrocytes","OPC","FGF1","FGFR1",0.000525314315760987,0,"FGF1_FGFR1","FGF1 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"117","astrocytes","astrocytes","FGF1","FGFR2",0.000311165080913166,0.01,"FGF1_FGFR2","FGF1 - FGFR2","FGF","Secreted Signaling","PMC: 4393358"
"118","endothelial","astrocytes","FGF1","FGFR2",0.00194470198844556,0,"FGF1_FGFR2","FGF1 - FGFR2","FGF","Secreted Signaling","PMC: 4393358"
"119","oligodendrocytes","astrocytes","FGF1","FGFR2",0.00825634465187672,0,"FGF1_FGFR2","FGF1 - FGFR2","FGF","Secreted Signaling","PMC: 4393358"
"120","astrocytes","oligodendrocytes","FGF1","FGFR2",0.000452827141816866,0,"FGF1_FGFR2","FGF1 - FGFR2","FGF","Secreted Signaling","PMC: 4393358"
